,Instrument,Insider Full Name,Insider Role Type,Insider Shares Traded (Adjusted),Insider Transaction Type,Insider Transaction Type(Short),Insider Transaction Price,Insider Shares Traded (As Reported),Insider Transaction Date
3517,AMZN.O,Reynolds (Shelley L),Officer,-204,Open market or private sale of non-derivative or derivative security,Open Market Sale,738.41,-204,2016-11-15
3518,AMZN.O,Wilke (Jeffrey A),,-122,Open market or private sale of non-derivative or derivative security,Open Market Sale,736.87,-122,2016-11-15
3519,AMZN.O,Wilke (Jeffrey A),Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,729.03,-100,2016-11-15
3520,AMZN.O,Jassy (Andrew R),,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,726.53,-100,2016-11-15
3521,AMZN.O,Jassy (Andrew R),Officer,96,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,96,2016-11-15
3522,AMZN.O,Jassy (Andrew R),Officer,530,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,530,2016-11-15
3523,AMZN.O,Jassy (Andrew R),Officer,-5489,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-5489,2016-11-15
3524,AMZN.O,Jassy (Andrew R),Officer,-400,Open market or private sale of non-derivative or derivative security,Open Market Sale,740.66,-400,2016-11-15
3525,AMZN.O,Jassy (Andrew R),Officer,-300,Open market or private sale of non-derivative or derivative security,Open Market Sale,739.64,-300,2016-11-15
3526,AMZN.O,Jassy (Andrew R),Officer,-376,Open market or private sale of non-derivative or derivative security,Open Market Sale,738.3,-376,2016-11-15
3527,AMZN.O,Jassy (Andrew R),Officer,-524,Open market or private sale of non-derivative or derivative security,Open Market Sale,737.19,-524,2016-11-15
3528,AMZN.O,Jassy (Andrew R),Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,734.57,-100,2016-11-15
3529,AMZN.O,Jassy (Andrew R),Officer,-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,732.91,-200,2016-11-15
3530,AMZN.O,Jassy (Andrew R),Officer,-105,Open market or private sale of non-derivative or derivative security,Open Market Sale,729.84,-105,2016-11-15
3531,AMZN.O,Blackburn Jeffrey M,,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,728.63,-100,2016-11-15
3532,AMZN.O,Blackburn Jeffrey M,Officer,-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,727.82,-200,2016-11-15
3533,AMZN.O,Blackburn Jeffrey M,Officer,5489,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,5489,2016-11-15
3534,AMZN.O,Blackburn Jeffrey M,Officer,-711,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-711,2016-11-15
3535,AMZN.O,Blackburn Jeffrey M,Officer,-524,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-524,2016-11-15
3536,AMZN.O,Blackburn Jeffrey M,Officer,-334,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-334,2016-11-15
3537,AMZN.O,Blackburn Jeffrey M,Officer,-451,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-451,2016-11-15
3538,AMZN.O,Blackburn Jeffrey M,Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,740.61,-100,2016-11-15
3539,AMZN.O,Blackburn Jeffrey M,Officer,-500,Open market or private sale of non-derivative or derivative security,Open Market Sale,740.13,-500,2016-11-15
3540,AMZN.O,Blackburn Jeffrey M,Officer,-377,Open market or private sale of non-derivative or derivative security,Open Market Sale,738.23,-377,2016-11-15
3541,AMZN.O,Blackburn Jeffrey M,Officer,-400,Open market or private sale of non-derivative or derivative security,Open Market Sale,737.09,-400,2016-11-15
3542,AMZN.O,Zapolsky David,,-103,Open market or private sale of non-derivative or derivative security,Open Market Sale,734.91,-103,2016-11-15
3543,AMZN.O,Zapolsky David,,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,733.1,-100,2016-11-15
3544,AMZN.O,Zapolsky David,,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,731.5,-100,2016-11-15
3545,AMZN.O,Zapolsky David,,-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,728.41,-200,2016-11-15
3546,AMZN.O,Zapolsky David,Officer,-140,Open market or private sale of non-derivative or derivative security,Open Market Sale,726.57,-140,2016-11-15
3547,AMZN.O,Zapolsky David,Officer,711,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,711,2016-11-15
3548,AMZN.O,Zapolsky David,Officer,524,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,524,2016-11-15
3549,AMZN.O,Zapolsky David,Officer,334,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,334,2016-11-15
3550,AMZN.O,Zapolsky David,Officer,451,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,451,2016-11-15
3551,AMZN.O,Zapolsky David,Officer,-1214,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-1214,2016-11-15
3552,AMZN.O,Zapolsky David,Officer,-297,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-297,2016-11-15
3553,AMZN.O,Zapolsky David,Officer,-300,Open market or private sale of non-derivative or derivative security,Open Market Sale,740.72,-300,2016-11-15
3554,AMZN.O,Zapolsky David,Officer,-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,739.32,-200,2016-11-15
3555,AMZN.O,Zapolsky David,Officer,-110,Open market or private sale of non-derivative or derivative security,Open Market Sale,738.0,-110,2016-11-15
3556,AMZN.O,Zapolsky David,Officer,-301,Open market or private sale of non-derivative or derivative security,Open Market Sale,737.03,-301,2016-11-15
3557,AMZN.O,Zapolsky David,Officer,-300,Open market or private sale of non-derivative or derivative security,Open Market Sale,735.01,-300,2016-11-15
3558,AMZN.O,Zapolsky David,Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,729.79,-100,2016-11-15
3559,AMZN.O,Blackburn Jeffrey M,Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,728.6,-100,2016-11-15
3560,AMZN.O,Blackburn Jeffrey M,Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,726.52,-100,2016-11-15
3561,AMZN.O,Blackburn Jeffrey M,Officer,1214,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,1214,2016-11-15
3562,AMZN.O,Blackburn Jeffrey M,Officer,297,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,297,2016-11-15
3563,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-949,Bona fide gift,Gift,0.0,-949,2016-11-02
3564,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-5389,Bona fide gift,Gift,0.0,-5389,2016-11-01
3565,AMZN.O,Jassy (Andrew R),Affiliated Person,,,,,,2016-09-27
3566,AMZN.O,Jassy (Andrew R),Officer,-14000,Open market or private sale of non-derivative or derivative security,Open Market Sale,800.0,-14000,2016-09-22
3567,AMZN.O,Huttenlocher (Daniel P),,377,"Grant, award or other acquisition pursuant to Rule 16b-3(d)",Acquisition,,377,2016-09-07
3568,AMZN.O,Huttenlocher (Daniel P),,377,"Grant, award or other acquisition pursuant to Rule 16b-3(d)",Acquisition,,377,2016-09-07
3569,AMZN.O,Huttenlocher (Daniel P),,377,"Grant, award or other acquisition pursuant to Rule 16b-3(d)",Acquisition,,377,2016-09-07
3570,AMZN.O,Diego Piacentini and Monica Nicoli Living Trust,Trustee,,,,,,2016-08-22
3571,AMZN.O,Jassy (Andrew R),Affiliated Person,,,,,,2016-08-22
3572,AMZN.O,Olsavsky (Brian T.),Affiliated Person,,,,,,2016-08-22
3573,AMZN.O,Zapolsky David,Affiliated Person,,,,,,2016-08-22
3574,AMZN.O,Blackburn Jeffrey M,Affiliated Person,,,,,,2016-08-22
3575,AMZN.O,Wilke (Jeffrey A),Affiliated Person,,,,,,2016-08-17
3576,AMZN.O,Wilke (Jeffrey A),,-5477,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-5477,2016-08-15
3577,AMZN.O,Wilke (Jeffrey A),Officer,-335,Open market or private sale of non-derivative or derivative security,Open Market Sale,771.71,-335,2016-08-15
3578,AMZN.O,Wilke (Jeffrey A),Officer,-1708,Open market or private sale of non-derivative or derivative security,Open Market Sale,770.42,-1708,2016-08-15
3579,AMZN.O,Wilke (Jeffrey A),Officer,-1622,Open market or private sale of non-derivative or derivative security,Open Market Sale,769.71,-1622,2016-08-15
3580,AMZN.O,Wilke (Jeffrey A),Officer,-1812,Open market or private sale of non-derivative or derivative security,Open Market Sale,768.4,-1812,2016-08-15
3581,AMZN.O,Jassy (Andrew R),,5477,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,5477,2016-08-15
3582,AMZN.O,Jassy (Andrew R),Officer,-4787,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-4787,2016-08-15
3583,AMZN.O,Jassy (Andrew R),Officer,-325,Open market or private sale of non-derivative or derivative security,Open Market Sale,771.66,-325,2016-08-15
3584,AMZN.O,Jassy (Andrew R),Officer,-1247,Open market or private sale of non-derivative or derivative security,Open Market Sale,770.51,-1247,2016-08-15
3585,AMZN.O,Jassy (Andrew R),Officer,-1590,Open market or private sale of non-derivative or derivative security,Open Market Sale,769.79,-1590,2016-08-15
3586,AMZN.O,Piacentini (Diego),,-1625,Open market or private sale of non-derivative or derivative security,Open Market Sale,768.43,-1625,2016-08-15
3587,AMZN.O,Piacentini (Diego),Officer,4787,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,4787,2016-08-15
3588,AMZN.O,Piacentini (Diego),Officer,-6889,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-6889,2016-08-15
3589,AMZN.O,Piacentini (Diego),Officer,-790,Open market or private sale of non-derivative or derivative security,Open Market Sale,768.17,-790,2016-08-15
3590,AMZN.O,Piacentini (Diego),Officer,-3200,Open market or private sale of non-derivative or derivative security,Open Market Sale,768.78,-3200,2016-08-15
3591,AMZN.O,Piacentini (Diego),Officer,-900,Open market or private sale of non-derivative or derivative security,Open Market Sale,769.74,-900,2016-08-15
3592,AMZN.O,Zapolsky David,,6889,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,6889,2016-08-15
3593,AMZN.O,Zapolsky David,,-95,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-95,2016-08-15
3594,AMZN.O,Zapolsky David,,-530,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-530,2016-08-15
3595,AMZN.O,Zapolsky David,,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,771.85,-100,2016-08-15
3596,AMZN.O,Zapolsky David,Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,770.64,-100,2016-08-15
3597,AMZN.O,Zapolsky David,Officer,-300,Open market or private sale of non-derivative or derivative security,Open Market Sale,769.96,-300,2016-08-15
3598,AMZN.O,Zapolsky David,Officer,-125,Open market or private sale of non-derivative or derivative security,Open Market Sale,768.59,-125,2016-08-15
3599,AMZN.O,Zapolsky David,Officer,95,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,95,2016-08-15
3600,AMZN.O,Zapolsky David,Officer,530,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,530,2016-08-15
3601,AMZN.O,Zapolsky David,Officer,-5489,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-5489,2016-08-15
3602,AMZN.O,Zapolsky David,Officer,-400,Open market or private sale of non-derivative or derivative security,Open Market Sale,771.25,-400,2016-08-15
3603,AMZN.O,Olsavsky (Brian T.),,-1100,Open market or private sale of non-derivative or derivative security,Open Market Sale,770.13,-1100,2016-08-15
3604,AMZN.O,Olsavsky (Brian T.),,-805,Open market or private sale of non-derivative or derivative security,Open Market Sale,768.5,-805,2016-08-15
3605,AMZN.O,Olsavsky (Brian T.),Officer,5489,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,5489,2016-08-15
3606,AMZN.O,Olsavsky (Brian T.),Officer,-710,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-710,2016-08-15
3607,AMZN.O,Olsavsky (Brian T.),Officer,-524,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-524,2016-08-15
3608,AMZN.O,Olsavsky (Brian T.),Officer,-334,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-334,2016-08-15
3609,AMZN.O,Olsavsky (Brian T.),Officer,-451,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-451,2016-08-15
3610,AMZN.O,Mcgrath Judith A,,-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,771.44,-200,2016-08-15
3611,AMZN.O,Mcgrath Judith A,Director,-1100,Open market or private sale of non-derivative or derivative security,Open Market Sale,770.13,-1100,2016-08-15
3612,AMZN.O,Blackburn Jeffrey M,,-719,Open market or private sale of non-derivative or derivative security,Open Market Sale,768.47,-719,2016-08-15
3613,AMZN.O,Blackburn Jeffrey M,Officer,710,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,710,2016-08-15
3614,AMZN.O,Blackburn Jeffrey M,Officer,524,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,524,2016-08-15
3615,AMZN.O,Blackburn Jeffrey M,Officer,334,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,334,2016-08-15
3616,AMZN.O,Blackburn Jeffrey M,Officer,451,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,451,2016-08-15
3617,AMZN.O,Blackburn Jeffrey M,Officer,-840,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-840,2016-08-15
3618,AMZN.O,Reynolds (Shelley L),,840,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,840,2016-08-15
3619,AMZN.O,Reynolds (Shelley L),,-1214,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-1214,2016-08-15
3620,AMZN.O,Reynolds (Shelley L),Officer,-296,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-296,2016-08-15
3621,AMZN.O,Reynolds (Shelley L),Officer,-400,Open market or private sale of non-derivative or derivative security,Open Market Sale,771.34,-400,2016-08-15
3622,AMZN.O,Reynolds (Shelley L),Officer,-600,Open market or private sale of non-derivative or derivative security,Open Market Sale,769.83,-600,2016-08-15
3623,AMZN.O,Reynolds (Shelley L),Officer,-510,Open market or private sale of non-derivative or derivative security,Open Market Sale,768.26,-510,2016-08-15
3624,AMZN.O,Reynolds (Shelley L),Officer,1214,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,1214,2016-08-15
3625,AMZN.O,Reynolds (Shelley L),Officer,296,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,296,2016-08-15
3626,AMZN.O,Blackburn Jeffrey M,Affiliated Person,,,,,,2016-08-08
3627,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-13046,Open market or private sale of non-derivative or derivative security,Open Market Sale,758.12,-13046,2016-08-04
3628,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-15928,Open market or private sale of non-derivative or derivative security,Open Market Sale,757.27,-15928,2016-08-04
3629,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-8415,Open market or private sale of non-derivative or derivative security,Open Market Sale,756.51,-8415,2016-08-04
3630,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-27287,Open market or private sale of non-derivative or derivative security,Open Market Sale,754.76,-27287,2016-08-04
3631,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-64942,Open market or private sale of non-derivative or derivative security,Open Market Sale,753.83,-64942,2016-08-04
3632,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-118846,Open market or private sale of non-derivative or derivative security,Open Market Sale,752.78,-118846,2016-08-04
3633,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-27295,Open market or private sale of non-derivative or derivative security,Open Market Sale,752.1,-27295,2016-08-04
3634,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-31767,Open market or private sale of non-derivative or derivative security,Open Market Sale,750.71,-31767,2016-08-04
3635,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-8248,Open market or private sale of non-derivative or derivative security,Open Market Sale,758.45,-8248,2016-08-03
3636,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-33556,Open market or private sale of non-derivative or derivative security,Open Market Sale,757.75,-33556,2016-08-03
3637,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-71756,Open market or private sale of non-derivative or derivative security,Open Market Sale,756.68,-71756,2016-08-03
3638,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-164812,Open market or private sale of non-derivative or derivative security,Open Market Sale,755.84,-164812,2016-08-03
3639,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-15872,Open market or private sale of non-derivative or derivative security,Open Market Sale,754.85,-15872,2016-08-03
3640,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-20058,Open market or private sale of non-derivative or derivative security,Open Market Sale,753.78,-20058,2016-08-03
3641,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-31935,Open market or private sale of non-derivative or derivative security,Open Market Sale,752.74,-31935,2016-08-03
3642,AMZN.O,Blackburn Jeffrey M,Officer,-16168,Open market or private sale of non-derivative or derivative security,Open Market Sale,764.74,-16168,2016-08-02
3643,AMZN.O,Blackburn Jeffrey M,Officer,-27467,Open market or private sale of non-derivative or derivative security,Open Market Sale,763.84,-27467,2016-08-02
3644,AMZN.O,Blackburn Jeffrey M,Officer,-26395,Open market or private sale of non-derivative or derivative security,Open Market Sale,762.61,-26395,2016-08-02
3645,AMZN.O,Blackburn Jeffrey M,Officer,-52985,Open market or private sale of non-derivative or derivative security,Open Market Sale,761.67,-52985,2016-08-02
3646,AMZN.O,Blackburn Jeffrey M,Officer,-67519,Open market or private sale of non-derivative or derivative security,Open Market Sale,760.73,-67519,2016-08-02
3647,AMZN.O,Blackburn Jeffrey M,Officer,-43066,Open market or private sale of non-derivative or derivative security,Open Market Sale,759.71,-43066,2016-08-02
3648,AMZN.O,Blackburn Jeffrey M,Officer,-74632,Open market or private sale of non-derivative or derivative security,Open Market Sale,758.77,-74632,2016-08-02
3649,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-38005,Open market or private sale of non-derivative or derivative security,Open Market Sale,757.72,-38005,2016-08-02
3650,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,764.62,-200,2016-08-02
3651,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1832,Open market or private sale of non-derivative or derivative security,Open Market Sale,763.89,-1832,2016-08-02
3652,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1386,Open market or private sale of non-derivative or derivative security,Open Market Sale,762.49,-1386,2016-08-02
3653,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2023,Open market or private sale of non-derivative or derivative security,Open Market Sale,761.41,-2023,2016-08-02
3654,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1300,Open market or private sale of non-derivative or derivative security,Open Market Sale,760.09,-1300,2016-08-02
3655,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2059,Open market or private sale of non-derivative or derivative security,Open Market Sale,758.92,-2059,2016-08-02
3656,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1200,Open market or private sale of non-derivative or derivative security,Open Market Sale,757.94,-1200,2016-08-02
3657,AMZN.O,Stonesifer (Patricia Q),Director,,,,,,2016-06-13
3658,AMZN.O,Stonesifer (Patricia Q),Director,-944,Open market or private sale of non-derivative or derivative security,Open Market Sale,725.44,-944,2016-06-06
3659,AMZN.O,Stonesifer (Patricia Q),Director,-5306,Open market or private sale of non-derivative or derivative security,Open Market Sale,726.41,-5306,2016-06-06
3660,AMZN.O,Gordon (William Bingham),Director,-22,Bona fide gift,Gift,0.0,-22,2016-05-24
3661,AMZN.O,Blackburn Jeffrey M,Affiliated Person,,,,,,2016-05-23
3662,AMZN.O,Zapolsky David,Affiliated Person,,,,,,2016-05-23
3663,AMZN.O,Olsavsky (Brian T.),Affiliated Person,,,,,,2016-05-23
3664,AMZN.O,Jassy (Andrew R),Affiliated Person,,,,,,2016-05-23
3665,AMZN.O,Ryder (Thomas O),Director,,,,,,2016-05-23
3666,AMZN.O,Diego Piacentini and Monica Nicoli Living Trust,Trustee,,,,,,2016-05-23
3667,AMZN.O,Reynolds (Shelley L),Affiliated Person,,,,,,2016-05-23
3668,AMZN.O,Wilke (Jeffrey A),Affiliated Person,,,,,,2016-05-17
3669,AMZN.O,Wilke (Jeffrey A),Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,713.0,-100,2016-05-16
3670,AMZN.O,Olsavsky (Brian T.),Officer,-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,712.12,-200,2016-05-16
3671,AMZN.O,Olsavsky (Brian T.),Officer,-1200,Open market or private sale of non-derivative or derivative security,Open Market Sale,710.88,-1200,2016-05-16
3672,AMZN.O,Olsavsky (Brian T.),Officer,-500,Open market or private sale of non-derivative or derivative security,Open Market Sale,709.8,-500,2016-05-16
3673,AMZN.O,Olsavsky (Brian T.),Officer,-300,Open market or private sale of non-derivative or derivative security,Open Market Sale,708.35,-300,2016-05-16
3674,AMZN.O,Olsavsky (Brian T.),Officer,-600,Open market or private sale of non-derivative or derivative security,Open Market Sale,706.13,-600,2016-05-16
3675,AMZN.O,Olsavsky (Brian T.),Officer,-300,Open market or private sale of non-derivative or derivative security,Open Market Sale,704.29,-300,2016-05-16
3676,AMZN.O,Olsavsky (Brian T.),Officer,-300,Open market or private sale of non-derivative or derivative security,Open Market Sale,703.41,-300,2016-05-16
3677,AMZN.O,Wilke (Jeffrey A),Officer,-300,Open market or private sale of non-derivative or derivative security,Open Market Sale,701.0,-300,2016-05-16
3678,AMZN.O,Wilke (Jeffrey A),Officer,-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,700.88,-200,2016-05-16
3679,AMZN.O,Wilke (Jeffrey A),Officer,-3278,Open market or private sale of non-derivative or derivative security,Open Market Sale,710.71,-3278,2016-05-16
3680,AMZN.O,Wilke (Jeffrey A),Officer,-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,707.56,-200,2016-05-16
3681,AMZN.O,Wilke (Jeffrey A),Officer,-300,Open market or private sale of non-derivative or derivative security,Open Market Sale,704.95,-300,2016-05-16
3682,AMZN.O,Wilke (Jeffrey A),Officer,-590,Open market or private sale of non-derivative or derivative security,Open Market Sale,704.35,-590,2016-05-16
3683,AMZN.O,Blackburn Jeffrey M,Officer,-400,Open market or private sale of non-derivative or derivative security,Open Market Sale,702.49,-400,2016-05-16
3684,AMZN.O,Blackburn Jeffrey M,Officer,-710,Open market or private sale of non-derivative or derivative security,Open Market Sale,701.18,-710,2016-05-16
3685,AMZN.O,Blackburn Jeffrey M,Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,710.05,-100,2016-05-16
3686,AMZN.O,Blackburn Jeffrey M,Officer,-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,708.18,-200,2016-05-16
3687,AMZN.O,Blackburn Jeffrey M,Officer,-300,Open market or private sale of non-derivative or derivative security,Open Market Sale,706.89,-300,2016-05-16
3688,AMZN.O,Blackburn Jeffrey M,Officer,-475,Open market or private sale of non-derivative or derivative security,Open Market Sale,705.66,-475,2016-05-16
3689,AMZN.O,Blackburn Jeffrey M,Officer,-803,Open market or private sale of non-derivative or derivative security,Open Market Sale,704.75,-803,2016-05-16
3690,AMZN.O,Blackburn Jeffrey M,Officer,-800,Open market or private sale of non-derivative or derivative security,Open Market Sale,703.73,-800,2016-05-16
3691,AMZN.O,Wilke (Jeffrey A),Officer,-1113,Open market or private sale of non-derivative or derivative security,Open Market Sale,702.19,-1113,2016-05-16
3692,AMZN.O,Wilke (Jeffrey A),Officer,-997,Open market or private sale of non-derivative or derivative security,Open Market Sale,701.24,-997,2016-05-16
3693,AMZN.O,Wilke (Jeffrey A),Officer,-700,Open market or private sale of non-derivative or derivative security,Open Market Sale,701.03,-700,2016-05-16
3694,AMZN.O,Jassy (Andrew R),Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,703.1,-100,2016-05-16
3695,AMZN.O,Jassy (Andrew R),Officer,-500,Open market or private sale of non-derivative or derivative security,Open Market Sale,703.93,-500,2016-05-16
3696,AMZN.O,Jassy (Andrew R),Officer,-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,705.26,-200,2016-05-16
3697,AMZN.O,Jassy (Andrew R),Officer,-700,Open market or private sale of non-derivative or derivative security,Open Market Sale,706.16,-700,2016-05-16
3698,AMZN.O,Jassy (Andrew R),Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,708.19,-100,2016-05-16
3699,AMZN.O,Jassy (Andrew R),Officer,-500,Open market or private sale of non-derivative or derivative security,Open Market Sale,708.94,-500,2016-05-16
3700,AMZN.O,Jassy (Andrew R),Officer,-780,Open market or private sale of non-derivative or derivative security,Open Market Sale,710.11,-780,2016-05-16
3701,AMZN.O,Piacentini (Diego),Officer,-1010,Open market or private sale of non-derivative or derivative security,Open Market Sale,711.01,-1010,2016-05-16
3702,AMZN.O,Piacentini (Diego),Officer,-300,Open market or private sale of non-derivative or derivative security,Open Market Sale,712.56,-300,2016-05-16
3703,AMZN.O,Piacentini (Diego),Officer,-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,710.05,-100,2016-05-16
