,Instrument,Insider Full Name,Insider Role Type,Insider Shares Traded (Adjusted),Insider Transaction Type,Insider Transaction Type(Short),Insider Transaction Price,Insider Shares Traded (As Reported),Insider Transaction Date
8714,AMZN.O,Dalzell (Richard L),Officer,137500,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",8.55,137500,2003-08-01
8715,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",,,,,,2003-08-01
8716,AMZN.O,Alberg (Thomas Austin),Affiliated Person,,,,,,2003-07-31
8717,AMZN.O,Alberg (Thomas Austin),Affiliated Person,,,,,,2003-07-31
8718,AMZN.O,Kilar (Jason),,-20000,Open market or private sale of non-derivative or derivative security,Open Market Sale,40.52,-20000,2003-07-25
8719,AMZN.O,Kilar (Jason),Officer,-15000,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-15000,2003-07-25
8720,AMZN.O,Kilar (Jason),Officer,-15000,Open market or private sale of non-derivative or derivative security,Open Market Sale,41.1,-15000,2003-07-25
8721,AMZN.O,Alberg (Thomas Austin),Director,15000,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",7.93,15000,2003-07-25
8722,AMZN.O,Alberg (Thomas Austin),Director,-20000,Open market or private sale of non-derivative or derivative security,Open Market Sale,40.52,-20000,2003-07-25
8723,AMZN.O,Doerr (L John),Director,-12322,Bona fide gift,Gift,0.0,-12322,2003-07-09
8724,AMZN.O,Peek (Mark S),,-12000,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-12000,2003-06-16
8725,AMZN.O,Peek (Mark S),Officer,-12000,Open market or private sale of non-derivative or derivative security,Open Market Sale,34.5,-12000,2003-06-16
8726,AMZN.O,Peek (Mark S),Officer,12000,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",13.38,12000,2003-06-16
8727,AMZN.O,Peek (Mark S),Officer,,,,,,2003-05-28
8728,AMZN.O,Peek (Mark S),Officer,-50000,Open market or private sale of non-derivative or derivative security,Open Market Sale,31.52,-50000,2003-05-21
8729,AMZN.O,Alberg (Thomas Austin),Affiliated Person,,,,,,2003-05-21
8730,AMZN.O,Alberg (Thomas Austin),Affiliated Person,,,,,,2003-05-21
8731,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",,,,,,2003-05-21
8732,AMZN.O,Hansen (Mark S),Director,-100000,Open market or private sale of non-derivative or derivative security,Open Market Sale,31.67,-100000,2003-05-20
8733,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",,,,,,2003-05-20
8734,AMZN.O,Piacentini (Diego),Officer,-100000,Open market or private sale of non-derivative or derivative security,Open Market Sale,32.07,-100000,2003-05-19
